session_id,noise_level,log_format,num_lines,failure_cause,affected_service,severity,recommended_action,evidence_lines
sess_00001,medium,json_like,8,message_queue_backlog,queue-service,high,scale_queue_consumers,"[4, 5, 6]"
sess_00002,none,mixed,4,authentication_token_expired,auth-service,high,rotate_or_check_credentials,"[2, 3, 4]"
sess_00003,high,plain,10,deployment_regression,checkout-service,critical,rollback_deployment,"[5, 6, 7]"
sess_00004,low,json_like,6,authentication_token_expired,auth-service,medium,rotate_or_check_credentials,"[3, 4, 5]"
sess_00005,low,plain,6,configuration_error,checkout-service,critical,rollback_or_fix_configuration,"[3, 4, 5]"
sess_00006,medium,json_like,8,authentication_token_expired,auth-service,high,rotate_or_check_credentials,"[4, 5, 6]"
sess_00007,none,mixed,4,resource_exhaustion,checkout-service,critical,scale_resource_or_restart_service,"[1, 2, 3, 4]"
sess_00008,high,json_like,10,configuration_error,checkout-service,critical,rollback_or_fix_configuration,"[5, 6, 7]"
sess_00009,medium,mixed,9,payment_gateway_timeout,payment-service,critical,check_payment_gateway_and_retry,"[4, 5, 6, 7]"
sess_00010,high,json_like,10,authentication_token_expired,auth-service,high,rotate_or_check_credentials,"[5, 6, 7]"
sess_00011,medium,json_like,8,normal_no_issue,gateway-service,low,no_action_monitor,"[3, 5, 6]"
sess_00012,medium,plain,8,inventory_out_of_sync,inventory-service,high,sync_inventory_and_retry,"[4, 5, 6]"
sess_00013,medium,json_like,8,deployment_regression,checkout-service,critical,rollback_deployment,"[4, 5, 6]"
sess_00014,medium,plain,8,resource_exhaustion,checkout-service,critical,scale_resource_or_restart_service,"[3, 4, 5, 6]"
sess_00015,low,mixed,7,database_connection_pool_exhaustion,database-service,critical,scale_database_pool,"[3, 4, 5, 6]"
sess_00016,medium,mixed,8,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[4, 5, 6]"
sess_00017,medium,plain,8,inventory_out_of_sync,inventory-service,high,sync_inventory_and_retry,"[4, 5, 6]"
sess_00018,high,mixed,10,authentication_token_expired,auth-service,medium,rotate_or_check_credentials,"[5, 6, 7]"
sess_00019,low,json_like,7,payment_gateway_timeout,payment-service,critical,check_payment_gateway_and_retry,"[3, 4, 5, 6]"
sess_00020,low,mixed,6,configuration_error,checkout-service,high,rollback_or_fix_configuration,"[3, 4, 5]"
sess_00021,medium,plain,8,authentication_token_expired,auth-service,medium,rotate_or_check_credentials,"[4, 5, 6]"
