session_id,noise_level,log_length,evidence_count,failure_cause,affected_service,severity,recommended_action,evidence_lines
sess_00000,low,5,3,authentication_failure,auth-service,medium,rotate_or_check_credentials,"[3, 4, 5]"
sess_00001,low,7,3,message_queue_backlog,message-queue,high,scale_resource,"[4, 5, 7]"
sess_00002,high,7,3,inventory_out_of_sync,inventory-service,high,reconcile_inventory_state,"[3, 5, 7]"
sess_00003,high,11,3,database_query_failure,database,high,escalate_to_database_team,"[4, 6, 8]"
sess_00004,low,7,3,authentication_failure,auth-service,medium,rotate_or_check_credentials,"[3, 5, 7]"
sess_00005,high,10,3,normal_no_issue,gateway,low,no_action_monitor,"[4, 6, 8]"
sess_00006,low,7,3,resource_exhaustion,payment-service,critical,scale_resource,"[4, 5, 7]"
sess_00007,high,9,3,network_timeout,gateway,high,inspect_network_dependency,"[3, 5, 7]"
sess_00008,low,7,3,external_api_failure,payment-service,medium,inspect_network_dependency,"[4, 5, 7]"
sess_00009,high,9,3,resource_exhaustion,payment-service,critical,scale_resource,"[4, 5, 6]"
sess_00010,high,10,3,database_query_failure,database,medium,escalate_to_database_team,"[4, 7, 8]"
sess_00011,medium,10,3,normal_no_issue,gateway,low,no_action_monitor,"[4, 5, 7]"
sess_00012,low,7,3,configuration_error,checkout-service,high,rollback_deployment,"[4, 5, 7]"
sess_00013,medium,8,3,authentication_failure,auth-service,high,rotate_or_check_credentials,"[3, 4, 6]"
sess_00014,low,7,3,message_queue_backlog,message-queue,medium,scale_resource,"[4, 6, 7]"
sess_00015,medium,7,3,network_timeout,gateway,high,inspect_network_dependency,"[3, 5, 6]"
sess_00016,medium,7,2,deployment_regression,checkout-service,critical,rollback_deployment,"[3, 6]"
sess_00017,medium,10,3,message_queue_backlog,message-queue,medium,scale_resource,"[4, 5, 8]"
sess_00018,medium,10,3,message_queue_backlog,message-queue,medium,scale_resource,"[4, 7, 8]"
sess_00019,none,7,3,deployment_regression,checkout-service,high,rollback_deployment,"[3, 5, 7]"
sess_00020,high,7,2,payment_gateway_timeout,payment-service,medium,check_payment_gateway_and_retry,"[4, 7]"
sess_00021,low,6,3,payment_gateway_timeout,payment-service,medium,check_payment_gateway_and_retry,"[3, 5, 6]"
sess_00022,low,6,3,database_query_failure,database,high,escalate_to_database_team,"[3, 5, 6]"
sess_00023,low,7,3,normal_no_issue,gateway,low,no_action_monitor,"[4, 6, 7]"
sess_00024,low,7,3,database_query_failure,database,high,escalate_to_database_team,"[4, 5, 7]"
sess_00025,low,7,3,inventory_out_of_sync,inventory-service,high,reconcile_inventory_state,"[3, 5, 7]"
sess_00026,high,11,3,network_timeout,gateway,medium,inspect_network_dependency,"[3, 4, 10]"
sess_00027,high,10,3,normal_no_issue,gateway,low,no_action_monitor,"[3, 5, 8]"
sess_00028,medium,9,3,deployment_regression,checkout-service,critical,rollback_deployment,"[4, 6, 8]"
sess_00029,none,5,3,payment_gateway_timeout,payment-service,medium,check_payment_gateway_and_retry,"[3, 4, 5]"
sess_00030,medium,9,3,network_timeout,gateway,medium,inspect_network_dependency,"[4, 5, 8]"
sess_00031,medium,8,3,authentication_failure,auth-service,high,rotate_or_check_credentials,"[3, 5, 6]"
sess_00032,low,8,3,payment_gateway_timeout,payment-service,medium,check_payment_gateway_and_retry,"[4, 6, 8]"
sess_00033,medium,9,3,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[3, 5, 6]"
sess_00034,low,6,3,external_api_failure,payment-service,high,inspect_network_dependency,"[3, 4, 6]"
