model,field,accuracy,macro_f1,weighted_f1
Majority,failure_cause,0.1,0.01818181818181818,0.01818181818181818
Majority,affected_service,0.3,0.06593406593406594,0.13846153846153847
Majority,severity,0.42133333333333334,0.14821763602251406,0.24979612257661035
Majority,recommended_action,0.1,0.01818181818181818,0.01818181818181818
Rules,failure_cause,0.8253333333333334,0.8039720582838938,0.8039720582838941
Rules,affected_service,0.412,0.2526303655950338,0.4798526346494236
Rules,severity,0.4533333333333333,0.48099365759916074,0.41435585072716885
Rules,recommended_action,0.8253333333333334,0.8039720582838941,0.803972058283894
TF-IDF LogReg,failure_cause,1.0,1.0,1.0
TF-IDF LogReg,affected_service,1.0,1.0,1.0
TF-IDF LogReg,severity,0.544,0.5844609358463161,0.4320345990588722
TF-IDF LogReg,recommended_action,1.0,1.0,1.0
TF-IDF SVM,failure_cause,1.0,1.0,1.0
TF-IDF SVM,affected_service,1.0,1.0,1.0
TF-IDF SVM,severity,0.572,0.6486702011640507,0.5562120968837895
TF-IDF SVM,recommended_action,1.0,1.0,1.0
TF-IDF NB,failure_cause,1.0,1.0,1.0
TF-IDF NB,affected_service,0.9973333333333333,0.9974373868179178,0.99732121502033
TF-IDF NB,severity,0.492,0.4211624306548707,0.39632704682858366
TF-IDF NB,recommended_action,1.0,1.0,1.0
Char SVM,failure_cause,1.0,1.0,1.0
Char SVM,affected_service,1.0,1.0,1.0
Char SVM,severity,0.552,0.6089900302459686,0.48017014642160755
Char SVM,recommended_action,1.0,1.0,1.0
